CodProd,Desc. Prod.,CodBarra
1003106,CHOC CREMOSO 200 AO LEITE,7896986280399
1003119,BB CS 40 SORTIDOS,7896986280795
1003140,CX 47 ENIGMA HARRY POTTER,7896986281655
1003164,CX 120G WB 100 ANOS TABLETE,7896986282119
1003198,BB PETIT DELI 75 BELGA,7896986284472
1003199,BB PETI DELI 90 WHISKY,7896986284755
1003206,BB PETI DELI 75 CREME E DAMASCO,7896986284762
1003214,BB PETIT DELI 48 CORACAO AVELA,7896986286148
1003216,BB PETIT 48 INTENSO C LARANJA,7896986286131
1003217,BB PETIT DELI 48 MACA DO AMOR,7896986286162
1003218,BB PETIT DELI 47 AVELA,7896986286155
1003219,BB PETIT DELI 58 SABOR LEITE,7896986286179
1003229,CX LN 108 MINISHOW PISTACHE,7896986287077
1003233,CX LN MINISHOW 108 AMENDOIM,7896986287008
1003306,CX 80 CS SORTIDOS,7896986289040
1003308,CX TABLETES ANGEL 90,7896986289378
1003328,CX BB 80 SORT NAMORADOS,7896986287756
1003334,CX ANG 75 FRU SILVESTRE,7896986290770
1003348,CX DRAG 70 CEREJA REFRESCA,7896986289538
1003349,CX DRAG 70 CEREJA C PIMENTA,7896986288364
1003367,CX 47 NUVEM URSINHOS CARINHOSOS,7896986290817
1003368,CX LC 108 KIDS,7896986291418
1003438,CX BB LACREME SORTIDO PAIS 108,7896986295072
